file,score,high_confidence,categories,hits,line_count,bytes,source_path,raw_copy
260425_LLMマインドマップトポロジ.md,8981,yes,scope-alias|mutation|validation|ssot|llm-transport|attrs|schema|storage|ui-state,Scope:249; scope:249; Alias:214; alias:214; Command:160; 正本:79; 検証:64; TOON:53; Undo:43; 整合:43; 属性:39; SQLite:34; ViewState:32; Validate:27; Redo:25; Model.apply:20; schema:20; コンテクスト:19; 循環:19; PersistedDocument:15; Repair:15; migration:12; スキーマ:12; 圧縮:12; Command Patch:11; 可変属性:11; SavedDoc:9; nodeAttrs:9; linkAttrs:7; nodes[:7; folder world:5; links[:5; データモデル:5; JSON正本:4; M3E.TOON:4; edgeAttrs:3; 通信:3; M3E.Command:2; edges[:2; metadata:2; コンテキスト:2; データ構造:2; 正本はJSON:2; Command Patch JSON:1; M3E.Context:1; Topology JSON:1; メタデータ:1; 論理正本:1,6916,235888,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260425_LLMマインドマップトポロジ.md,raw_conversations/260425_LLMマインドマップトポロジ.md
260417_重要Resource管理のアプローチ.md,7511,yes,scope-alias|mutation|validation|ssot|schema|ui-state|packed-core|llm-transport|attrs|storage,Scope:480; scope:480; Alias:408; alias:408; 正本:150; 整合:118; Command:103; ViewState:75; Undo:74; 極性:74; 検証:65; 属性:52; Redo:42; schema:41; コンテクスト:36; SQLite:29; PersistedDocument:22; migration:22; スキーマ:21; SavedDoc:18; 循環:17; 圧縮:15; データモデル:13; folder world:10; 通信:9; Model.apply:7; Validate:6; データ構造:5; metadata:4; コンテキスト:4; メタデータ:4; 論理正本:2,12387,528610,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260417_重要Resource管理のアプローチ.md,raw_conversations/260417_重要Resource管理のアプローチ.md
260410_TCLの意味.md,7340,yes,scope-alias|mutation|validation|ui-state|ssot|attrs|schema|llm-transport|storage,Scope:577; scope:577; Alias:471; alias:471; Command:214; ViewState:122; 整合:101; Undo:98; 検証:75; 正本:74; Redo:70; 属性:56; metadata:46; schema:40; コンテクスト:34; SQLite:28; 循環:26; PersistedDocument:22; migration:22; SavedDoc:20; スキーマ:20; データモデル:12; メタデータ:12; Model.apply:10; folder world:10; 圧縮:10; Validate:8; コンテキスト:6; データ構造:6; 論理正本:2; 通信:2,16560,556702,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260410_TCLの意味.md,raw_conversations/260410_TCLの意味.md
260420_戦略立案の改善.md,6812,yes,scope-alias|mutation|validation|ssot|schema|ui-state|storage|attrs|llm-transport,Scope:425; scope:425; Alias:300; alias:300; Command:101; Undo:71; 整合:71; ViewState:61; 正本:61; 検証:60; 属性:46; Redo:45; schema:34; コンテクスト:33; SQLite:31; PersistedDocument:23; スキーマ:23; migration:22; SavedDoc:18; 循環:16; 圧縮:11; folder world:9; データ構造:9; データモデル:7; Model.apply:6; Validate:6; コンテキスト:4; metadata:3; メタデータ:2; 論理正本:2; 通信:2,10709,416705,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260420_戦略立案の改善.md,raw_conversations/260420_戦略立案の改善.md
260425_MIOSMindmap_IO_Stack.md,6792,yes,scope-alias|mutation|validation|llm-transport|ssot|schema|ui-state|storage|attrs,Scope:241; scope:241; Alias:198; alias:198; Command:82; 整合:41; 検証:39; Undo:35; 正本:34; ViewState:32; TOON:28; 属性:23; Redo:21; schema:20; MIOS:19; コンテクスト:18; SQLite:17; Validate:17; PersistedDocument:13; migration:11; スキーマ:10; Repair:9; SavedDoc:9; 循環:9; 圧縮:8; Model.apply:6; folder world:5; Mindmap I/O:4; コンテキスト:4; データモデル:4; JSON正本:3; metadata:2; データ構造:2; メタデータ:1; 論理正本:1; 通信:1,5676,196049,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260425_MIOSMindmap_IO_Stack.md,raw_conversations/260425_MIOSMindmap_IO_Stack.md
260419_Cloud_Code_Agent_SDK.md,6718,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:437; scope:437; Alias:390; alias:390; Command:105; Undo:73; 整合:73; ViewState:65; 検証:54; 正本:49; 属性:46; Redo:43; schema:40; コンテクスト:36; SQLite:28; migration:23; PersistedDocument:22; スキーマ:21; SavedDoc:18; 循環:16; 圧縮:12; folder world:10; データモデル:8; Model.apply:6; Validate:6; コンテキスト:6; metadata:4; データ構造:4; メタデータ:2; 論理正本:2; 通信:2,10998,369115,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260419_Cloud_Code_Agent_SDK.md,raw_conversations/260419_Cloud_Code_Agent_SDK.md
260410_Structural_Reasoning_Stack.md,6709,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:442; scope:442; Alias:396; alias:396; Command:98; 整合:81; 検証:72; Undo:69; ViewState:64; 正本:53; 属性:46; Redo:43; schema:40; コンテクスト:37; SQLite:28; PersistedDocument:22; migration:22; スキーマ:20; SavedDoc:18; 循環:17; 圧縮:13; folder world:10; データモデル:8; Model.apply:6; Validate:6; metadata:4; コンテキスト:4; データ構造:4; 通信:4; メタデータ:2; 論理正本:2,11642,407799,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260410_Structural_Reasoning_Stack.md,raw_conversations/260410_Structural_Reasoning_Stack.md
260420_ネットワーク同期とセキュリティ.md,6698,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:436; scope:436; Alias:392; alias:392; Command:98; 整合:73; Undo:68; ViewState:64; 検証:53; 正本:51; 属性:46; Redo:42; schema:40; コンテクスト:40; SQLite:29; PersistedDocument:22; migration:22; スキーマ:20; SavedDoc:18; 循環:16; 圧縮:12; folder world:10; データモデル:8; Model.apply:6; Validate:6; コンテキスト:5; metadata:4; データ構造:4; メタデータ:2; 論理正本:2; 通信:2,11743,420805,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260420_ネットワーク同期とセキュリティ.md,raw_conversations/260420_ネットワーク同期とセキュリティ.md
260406_AI_orchestration_in_M3E.md,6682,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:436; scope:436; Alias:390; alias:390; Command:103; 整合:77; Undo:69; ViewState:65; 検証:54; 正本:52; 属性:48; Redo:43; schema:40; コンテクスト:38; SQLite:28; PersistedDocument:22; migration:22; スキーマ:20; SavedDoc:18; 循環:16; 圧縮:12; folder world:10; データモデル:8; Validate:7; Model.apply:6; metadata:4; コンテキスト:4; データ構造:4; メタデータ:2; 論理正本:2; 通信:2,10946,389182,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260406_AI_orchestration_in_M3E.md,raw_conversations/260406_AI_orchestration_in_M3E.md
260417_LLMの抽象度評価.md,6679,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:436; scope:436; Alias:391; alias:391; Command:98; 整合:83; Undo:68; ViewState:64; 検証:53; 正本:48; 属性:46; Redo:42; schema:40; コンテクスト:36; SQLite:28; PersistedDocument:22; migration:22; スキーマ:20; SavedDoc:18; 循環:17; 圧縮:12; folder world:10; データモデル:8; Model.apply:6; Validate:6; metadata:4; コンテキスト:4; データ構造:4; メタデータ:2; 論理正本:2; 通信:2,10744,368316,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260417_LLMの抽象度評価.md,raw_conversations/260417_LLMの抽象度評価.md
260406_AI_memory_reflection.md,6670,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:436; scope:436; Alias:390; alias:390; Command:98; 整合:72; Undo:68; ViewState:64; 検証:52; 正本:48; 属性:46; Redo:42; schema:40; コンテクスト:36; SQLite:28; PersistedDocument:22; migration:22; スキーマ:20; SavedDoc:18; 循環:16; 圧縮:12; folder world:10; データモデル:8; Model.apply:6; Validate:6; metadata:4; コンテキスト:4; データ構造:4; メタデータ:2; 論理正本:2; 通信:2,10819,374749,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260406_AI_memory_reflection.md,raw_conversations/260406_AI_memory_reflection.md
260404_M3EとAgent_Workflow.md,5506,yes,scope-alias|mutation|validation|ssot|schema|ui-state|llm-transport|attrs|storage,Scope:264; scope:264; Alias:251; alias:251; Command:117; 整合:63; 正本:62; Undo:61; 検証:46; ViewState:43; Redo:32; 属性:27; コンテクスト:24; schema:23; スキーマ:16; 循環:16; SQLite:14; migration:14; PersistedDocument:11; SavedDoc:9; 圧縮:9; Validate:7; folder world:7; Model.apply:6; データモデル:6; データ構造:3; メタデータ:3; metadata:2; コンテキスト:2; 論理正本:1; 通信:1,6902,255487,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260404_M3EとAgent_Workflow.md,raw_conversations/260404_M3EとAgent_Workflow.md
260409_ローンチ前の自動テスト.md,5438,yes,scope-alias|storage|validation|mutation|ssot|schema|llm-transport|ui-state|attrs,Scope:218; scope:218; Alias:195; alias:195; 検証:72; migration:65; SQLite:64; Command:53; Undo:39; 整合:37; ViewState:32; 正本:29; Redo:25; 属性:23; schema:21; コンテクスト:18; 圧縮:13; スキーマ:12; PersistedDocument:11; SavedDoc:9; 循環:9; folder world:5; データモデル:4; Model.apply:3; Validate:3; metadata:2; コンテキスト:2; データ構造:2; メタデータ:1; 論理正本:1; 通信:1,9646,285546,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260409_ローンチ前の自動テスト.md,raw_conversations/260409_ローンチ前の自動テスト.md
260404_ハイブリッド検索の重要性.md,5360,yes,scope-alias|mutation|validation|ssot|schema|llm-transport|ui-state|attrs|storage,Scope:239; scope:239; Alias:228; alias:228; Command:66; 整合:51; Undo:49; ViewState:42; 検証:28; 正本:28; Redo:27; 属性:25; コンテクスト:24; schema:21; スキーマ:15; SQLite:14; migration:13; PersistedDocument:11; 循環:11; 圧縮:10; SavedDoc:9; コンテキスト:9; folder world:7; Model.apply:6; データモデル:6; Validate:3; データ構造:3; metadata:2; メタデータ:1; 論理正本:1; 通信:1,6334,227405,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260404_ハイブリッド検索の重要性.md,raw_conversations/260404_ハイブリッド検索の重要性.md
260420_位相と埋め込みアルゴリズム.md,5238,yes,scope-alias|mutation|validation|llm-transport|ssot|schema|ui-state|attrs|storage,Scope:247; scope:247; Alias:203; alias:203; 整合:57; Command:49; Undo:34; ViewState:32; 圧縮:31; 正本:30; 検証:27; 属性:23; Redo:21; schema:20; コンテクスト:18; SQLite:14; PersistedDocument:11; migration:11; コンテキスト:11; スキーマ:10; SavedDoc:9; 循環:8; folder world:5; データモデル:5; Model.apply:3; Validate:3; データ構造:3; メタデータ:3; metadata:2; 論理正本:1; 通信:1,8274,287456,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260420_位相と埋め込みアルゴリズム.md,raw_conversations/260420_位相と埋め込みアルゴリズム.md
260402_UIマトリクス視覚化.md,5226,yes,scope-alias|mutation|validation|schema|ssot|ui-state|llm-transport|attrs|storage,Scope:233; scope:233; Alias:225; alias:225; Command:66; 整合:54; Undo:49; ViewState:42; 検証:28; Redo:27; 属性:25; 正本:24; コンテクスト:23; schema:21; スキーマ:15; SQLite:14; migration:13; PersistedDocument:11; 循環:11; SavedDoc:9; 圧縮:9; folder world:7; Model.apply:6; データモデル:6; Validate:3; データ構造:3; メタデータ:3; metadata:2; コンテキスト:2; 論理正本:1; 通信:1,7728,253932,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260402_UIマトリクス視覚化.md,raw_conversations/260402_UIマトリクス視覚化.md
260404_Give_push_permission.md,5206,yes,scope-alias|mutation|validation|schema|ssot|ui-state|llm-transport|attrs|storage,Scope:233; scope:233; Alias:225; alias:225; Command:68; Undo:49; 整合:46; ViewState:42; 検証:28; Redo:27; 属性:25; 正本:24; コンテクスト:23; schema:21; スキーマ:15; SQLite:14; migration:13; PersistedDocument:11; 循環:11; SavedDoc:9; 圧縮:9; folder world:7; Model.apply:6; データモデル:6; Validate:3; データ構造:3; metadata:2; コンテキスト:2; メタデータ:1; 論理正本:1; 通信:1,5982,221357,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260404_Give_push_permission.md,raw_conversations/260404_Give_push_permission.md
260423_M3Eによる数学書の読解.md,5151,yes,scope-alias|mutation|validation|llm-transport|ssot|schema|ui-state|attrs|storage,Scope:236; scope:236; Alias:195; alias:195; Command:52; 整合:40; 圧縮:39; 正本:35; Undo:34; ViewState:32; 検証:26; 属性:25; schema:22; Redo:21; コンテクスト:19; SQLite:14; PersistedDocument:11; migration:11; スキーマ:10; 循環:10; SavedDoc:9; folder world:5; データモデル:4; Model.apply:3; Validate:3; データ構造:3; metadata:2; コンテキスト:2; メタデータ:1; 論理正本:1; 通信:1,5802,238652,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260423_M3Eによる数学書の読解.md,raw_conversations/260423_M3Eによる数学書の読解.md
260421_PDFメタデータ分類法.md,5113,yes,scope-alias|mutation|validation|attrs|ssot|schema|ui-state|llm-transport|storage,Scope:219; scope:219; Alias:196; alias:196; Command:49; 整合:37; Undo:34; ViewState:32; schema:31; 正本:27; 検証:26; metadata:23; 属性:23; Redo:21; コンテクスト:18; SQLite:14; PersistedDocument:11; migration:11; スキーマ:10; SavedDoc:9; 循環:8; 圧縮:6; folder world:5; メタデータ:5; データモデル:4; Model.apply:3; Validate:3; コンテキスト:2; データ構造:2; 論理正本:1; 通信:1,6010,210467,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260421_PDFメタデータ分類法.md,raw_conversations/260421_PDFメタデータ分類法.md
260422_研究計画とコスト分析.md,5060,yes,scope-alias|validation|mutation|llm-transport|ssot|schema|ui-state|attrs|storage,Scope:218; scope:218; Alias:197; alias:197; 検証:67; Command:49; 整合:39; Undo:35; ViewState:31; 圧縮:25; 属性:23; 正本:23; Redo:22; schema:21; コンテクスト:17; スキーマ:15; SQLite:14; migration:12; PersistedDocument:11; SavedDoc:9; 循環:8; folder world:5; Model.apply:3; Validate:3; データモデル:3; データ構造:3; metadata:2; コンテキスト:2; 通信:2; メタデータ:1; 論理正本:1,6476,253247,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260422_研究計画とコスト分析.md,raw_conversations/260422_研究計画とコスト分析.md
260423_ハードウェアデータ基盤設計.md,5051,yes,scope-alias|validation|mutation|ssot|schema|llm-transport|ui-state|attrs|storage,Scope:218; scope:218; Alias:197; alias:197; 検証:99; Command:53; 整合:40; Undo:35; ViewState:32; 正本:26; コンテクスト:23; 属性:23; Redo:22; schema:20; SQLite:14; スキーマ:12; PersistedDocument:11; migration:11; 圧縮:11; 循環:11; SavedDoc:9; folder world:5; データ構造:5; データモデル:4; Model.apply:3; Validate:3; metadata:2; コンテキスト:2; 通信:2; メタデータ:1; 論理正本:1,7308,267006,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260423_ハードウェアデータ基盤設計.md,raw_conversations/260423_ハードウェアデータ基盤設計.md
260419_数学書の解析と構造化.md,5037,yes,scope-alias|mutation|validation|ssot|schema|attrs|ui-state|llm-transport|storage,Scope:219; scope:219; Alias:199; alias:199; Command:49; 正本:44; 整合:37; Undo:34; ViewState:33; 検証:28; 属性:25; Redo:21; schema:21; コンテクスト:19; SQLite:17; スキーマ:12; PersistedDocument:11; migration:11; SavedDoc:9; 循環:8; metadata:6; 圧縮:6; folder world:5; データモデル:4; Model.apply:3; Validate:3; メタデータ:3; コンテキスト:2; データ構造:2; JSON正本:1; 論理正本:1; 通信:1,5801,217879,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260419_数学書の解析と構造化.md,raw_conversations/260419_数学書の解析と構造化.md
260411_Entity_Party_Org_関係.md,5001,yes,scope-alias|mutation|validation|ssot|schema|llm-transport|ui-state|attrs|storage,Scope:313; scope:313; Alias:206; alias:206; Command:57; 整合:45; Undo:39; 検証:37; ViewState:32; 正本:31; 属性:24; Redo:23; コンテクスト:22; schema:20; SQLite:14; PersistedDocument:11; migration:11; スキーマ:10; SavedDoc:9; 圧縮:8; 循環:8; folder world:5; データモデル:5; Model.apply:4; Validate:4; metadata:2; コンテキスト:2; データ構造:2; メタデータ:1; 論理正本:1; 通信:1,9519,262772,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260411_Entity_Party_Org_関係.md,raw_conversations/260411_Entity_Party_Org_関係.md
260422_M3Eと数学的発見.md,4998,yes,scope-alias|mutation|validation|ssot|llm-transport|schema|ui-state|attrs|storage,Scope:219; scope:219; Alias:196; alias:196; Command:49; 整合:41; Undo:34; ViewState:32; 正本:32; 検証:28; 属性:23; Redo:21; 圧縮:21; schema:20; コンテクスト:18; SQLite:14; PersistedDocument:11; migration:11; スキーマ:10; SavedDoc:9; 循環:9; folder world:5; データモデル:4; Model.apply:3; Validate:3; metadata:2; コンテキスト:2; データ構造:2; メタデータ:1; 論理正本:1; 通信:1,6110,236898,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260422_M3Eと数学的発見.md,raw_conversations/260422_M3Eと数学的発見.md
260411_セキュリティとスコープ設計.md,4989,yes,scope-alias|mutation|validation|ssot|schema|llm-transport|ui-state|attrs|storage,Scope:315; scope:315; Alias:296; alias:296; Command:50; 整合:41; Undo:36; ViewState:32; 検証:29; コンテクスト:26; 正本:24; 属性:23; Redo:21; schema:20; SQLite:14; PersistedDocument:11; migration:11; スキーマ:10; SavedDoc:9; 循環:9; 圧縮:7; folder world:5; Model.apply:4; metadata:4; データモデル:4; データ構造:4; Validate:3; メタデータ:3; コンテキスト:2; 論理正本:1; 通信:1,6754,222523,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260411_セキュリティとスコープ設計.md,raw_conversations/260411_セキュリティとスコープ設計.md
260424_認知資源の効率化と物理.md,4981,yes,scope-alias|mutation|validation|llm-transport|ssot|schema|ui-state|attrs|storage,Scope:222; scope:222; Alias:196; alias:196; Command:49; 整合:36; Undo:34; ViewState:32; 検証:26; 正本:24; 属性:23; Redo:21; schema:20; 圧縮:20; コンテクスト:19; SQLite:14; PersistedDocument:11; migration:11; スキーマ:10; SavedDoc:9; 循環:8; 通信:7; folder world:5; データモデル:4; Model.apply:3; Validate:3; データ構造:3; metadata:2; コンテキスト:2; メタデータ:1; 論理正本:1,5676,197196,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260424_認知資源の効率化と物理.md,raw_conversations/260424_認知資源の効率化と物理.md
260410_重要LLMとM3E構造比較.md,4978,yes,scope-alias|mutation|validation|ssot|llm-transport|schema|ui-state|attrs|storage,Scope:249; scope:249; Alias:203; alias:203; Command:51; 整合:41; Undo:34; 正本:34; ViewState:32; 検証:27; 属性:25; Redo:21; schema:20; コンテクスト:20; 圧縮:15; SQLite:14; PersistedDocument:11; migration:11; スキーマ:10; SavedDoc:9; 循環:8; folder world:6; データモデル:4; Model.apply:3; Validate:3; metadata:2; コンテキスト:2; データ構造:2; メタデータ:1; 論理正本:1; 通信:1,6516,237095,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260410_重要LLMとM3E構造比較.md,raw_conversations/260410_重要LLMとM3E構造比較.md
260421_情報欠落検出問題.md,4957,yes,scope-alias|mutation|validation|ssot|llm-transport|schema|ui-state|attrs|storage,Scope:235; scope:235; Alias:195; alias:195; Command:49; 整合:40; 検証:35; Undo:34; ViewState:32; 正本:27; コンテクスト:24; 属性:24; Redo:21; schema:20; SQLite:14; PersistedDocument:11; migration:11; スキーマ:10; SavedDoc:9; 圧縮:8; 循環:8; folder world:5; コンテキスト:5; データモデル:4; Model.apply:3; Validate:3; metadata:2; データ構造:2; メタデータ:1; 論理正本:1; 通信:1,5993,208568,C:\Users\Akaghef\data\作業\chatGPTdata\MarkdownFiles\Projects\Akaghef\M3E\260421_情報欠落検出問題.md,raw_conversations/260421_情報欠落検出問題.md
